,id,zipcode,price,median_price,condition,status_purchase
0,7129300520,98178,221900.0,278277.0,3,Yes
1,4060000240,98178,205425.0,278277.0,4,Yes
2,4058801670,98178,445000.0,278277.0,3,No
3,2976800796,98178,236000.0,278277.0,3,Yes
4,6874200960,98178,170000.0,278277.0,3,Yes
5,4268200055,98178,245000.0,278277.0,3,Yes
6,3969300030,98178,165000.0,278277.0,3,Yes
7,3969300030,98178,239900.0,278277.0,3,Yes
8,1678400105,98178,339000.0,278277.0,3,No
9,2172000075,98178,290900.0,278277.0,3,No
10,1180003090,98178,190000.0,278277.0,3,Yes
11,561000075,98178,260000.0,278277.0,4,Yes
12,1123049053,98178,360000.0,278277.0,3,No
13,7812800565,98178,289500.0,278277.0,4,No
14,3348401740,98178,188000.0,278277.0,3,Yes
15,2171400197,98178,350000.0,278277.0,3,No
16,5476200160,98178,164808.0,278277.0,3,Yes
17,9368700223,98178,310000.0,278277.0,5,No
18,7567600045,98178,825000.0,278277.0,4,No
19,2171400126,98178,269000.0,278277.0,3,Yes
20,3352402236,98178,252500.0,278277.0,5,Yes
21,8069000075,98178,790000.0,278277.0,3,No
22,7812800310,98178,260000.0,278277.0,3,Yes
23,2171400218,98178,245000.0,278277.0,3,Yes
24,8073000550,98178,1700000.0,278277.0,3,No
25,4058800830,98178,612000.0,278277.0,3,No
26,9368700341,98178,285000.0,278277.0,5,No
27,1180002378,98178,299000.0,278277.0,3,No
28,185000118,98178,212000.0,278277.0,5,Yes
29,3810000860,98178,240000.0,278277.0,3,Yes
30,3810000565,98178,255000.0,278277.0,3,Yes
31,1180500070,98178,335000.0,278277.0,3,No
32,179000350,98178,194000.0,278277.0,3,Yes
33,3810000202,98178,251700.0,278277.0,3,Yes
34,4058802105,98178,150000.0,278277.0,3,Yes
35,2976800550,98178,280005.0,278277.0,3,No
36,3810000465,98178,243000.0,278277.0,4,Yes
37,7129300400,98178,400000.0,278277.0,3,No
38,7878400135,98178,355000.0,278277.0,3,No
39,7887200390,98178,294000.0,278277.0,3,No
40,179003055,98178,210000.0,278277.0,3,Yes
41,3352400004,98178,184500.0,278277.0,3,Yes
42,3352401981,98178,199000.0,278277.0,3,Yes
43,393000045,98178,415000.0,278277.0,3,No
44,2144800215,98178,285000.0,278277.0,4,No
45,5476200123,98178,200000.0,278277.0,3,Yes
46,8073000495,98178,700000.0,278277.0,3,No
47,3800008,98178,178000.0,278277.0,3,Yes
48,2172000750,98178,160000.0,278277.0,3,Yes
49,7813200115,98178,100000.0,278277.0,3,Yes
50,4058801240,98178,330000.0,278277.0,4,No
51,9282801720,98178,355000.0,278277.0,4,No
52,3352402250,98178,119900.0,278277.0,3,Yes
53,7657000165,98178,200000.0,278277.0,3,Yes
54,561000300,98178,345100.0,278277.0,3,No
55,399000195,98178,200000.0,278277.0,3,Yes
56,3348401584,98178,210000.0,278277.0,3,Yes
57,1159100100,98178,359950.0,278277.0,4,No
58,8073000265,98178,360000.0,278277.0,4,No
59,399000025,98178,265000.0,278277.0,3,Yes
